Branch,Location,Longitude,Latitude
동해천곡대로점,강원도 동해시 천곡로 59-1,129.1120079,37.524128
강릉동인점,강원도 강릉시 보래미길 30,128.9092208,37.77245904
인제천도리점,강원도 인제군 서화면 천도로 130,128.2096429,38.22360934
화천상서점,강원도 화천군 상서면 영서로 7724-1,127.6628739,38.20767153
인제점,강원도 인제군 인제읍 비봉로 9,128.1726036,38.06838431
양구경림점,강원도 양구군 양구읍 양록길23번길 16-3,127.985458,38.10820811
무실으뜸점,강원도 원주시 만대로 178,127.9235417,37.33297078
영월쌍용점,강원도 영월군 한반도면 쌍용로 86,128.3203823,37.18288534
태백병원점,강원도 태백시 보드미길 8,129.0034618,37.10426865
진부대로점,강원도 평창군 진부면 진부중앙로 100,128.561034,37.63976258
횡성목석쉼터점,강원도 횡성군 서원면 월송석화로 518,127.8374676,37.46563439
홍천시동점,강원도 홍천군 남면 시동안로 207,127.8304354,37.59088413
문혜스타점,강원도 철원군 갈말읍 두루미로 36-20,127.3264565,38.18094239
춘천사농쉼터점,강원도 춘천시 영서로 3057,127.7208371,37.92507216
남원주IC점,강원도 원주시 송삼길 216-2,127.9212126,37.32640012
삼척새시대점,강원도 삼척시 정상안길 104,129.1775231,37.44640886
속초중앙점,강원도 속초시 중앙로 134,128.5907205,38.20278629
문막주공푸른점,강원도 원주시 문막읍 원문로 1684,127.8267415,37.31749562
강릉교동백일홍점,강원도 강릉시 하슬라로206번길 12-9,128.8769775,37.76710807
동해나안로드점,강원도 동해시 이원길 177,129.1119653,37.48007635
속초청학점,강원도 속초시 중앙로 66,128.5833996,38.20108402
서양양IC점,강원도 양양군 서면 구룡령로 2069,128.5289126,37.98395168
고한고토일점,강원도 정선군 고한읍 지장천로 847,128.8337064,37.22042176
강릉부영하슬라빌점,강원도 강릉시 하슬라로 124,128.873937,37.76047211
속초중앙시장점,강원도 속초시 수복로 186,128.5884701,38.20406796
문막대로점,강원도 원주시 문막읍 원문로 1625,127.831285,37.31898902
춘천이편한한숲점,강원도 춘천시 안마산로 133,127.7298483,37.85596646
영월영흥대로점,강원도 영월군 영월읍 봉래산로 47-4,128.4725226,37.18760286
원주반곡아이파크,강원도 원주시 늘품로 199,127.9645958,37.33396339
강릉강부점,강원도 강릉시 관대길 63,128.8769151,37.74067252
알펜시아기숙사점,강원도 평창군 대관령면 솔봉로 287,128.6662891,37.66276857
강릉현대점,강원도 강릉시 교동광장로 139,128.8802603,37.76445262
동해추암촛대바위점,강원도 동해시 추암택지길 2,129.1567258,37.47777243
양구통일관점,강원도 양구군 해안면 해안서화로 35,128.1454289,38.29013507
동해북평시장점,강원도 동해시 구미택지1길 86,129.1274715,37.47965908
매지점,강원도 원주시 흥업면 세동길 49,127.9096706,37.27798377
고한로드점,강원도 정선군 고한읍 고한로 191,128.8559534,37.19886181
태백연지로점,강원도 태백시 연지로 38,128.9909486,37.17654355
정선진성주유소,강원도 정선군 정선읍 애산로 1,128.6698204,37.37236974
장평점,강원도 평창군 용평면 경강로 1656,128.4150409,37.58605925
죽도서프비치점,강원도 양양군 현남면 인구중앙길 99,128.7589265,37.97351137
편의점,강원도 춘천시 동내면 외솔길 51,127.7539031,37.85691121
양양사거리점,강원도 양양군 양양읍 남문로 25,128.6197165,38.07405828
동해대동점,강원도 동해시 효자남길 29-9,129.1053888,37.48877911
춘천시청점,강원도 춘천시 근화길15번길 26,127.7173536,37.87229984
KORAIL연수원점,강원도 양양군 강현면 동해대로 3457,128.6096256,38.14629777
강릉역점,강원도 강릉시 용지로 167,128.8999012,37.76305185
속초대포항쉼터점,강원도 속초시 대포항희망길 47,128.6063427,38.17282145
홍천오드카운티점,강원도 홍천군 홍천읍 갈마로11길 33,127.9020537,37.69775064
동해한중대정문점,강원도 동해시 지양길 83,129.1002516,37.49625169
하이원마운틴점,강원도 정선군 고한읍 고한3길 6-11,128.8482836,37.20301701
철원문혜점,강원도 철원군 갈말읍 두루미로 100-1,127.3206299,38.18520644
주문진2주공점,강원도 강릉시 주문진읍 연주로 241-7,128.8281412,37.87520485
춘천퇴계행복점,강원도 춘천시 안마산로 244,127.7403428,37.84796187
강대에이스점,강원도 춘천시 백령로 139,127.7425806,37.87430392
고성청간해변점,강원도 고성군 토성면 아야진해변길 16,128.5559338,38.26770854
춘천서면점,강원도 춘천시 서면 박사로 929,127.6939658,37.89862343
동해부곡대로점,강원도 동해시 임항로 50,129.1076269,37.53846867
인제상동점,강원도 인제군 인제읍 인제로228번길 7,128.1755939,38.07017287
인제휴게소점,강원도 인제군 남면 설악로 1654,128.1469059,38.03536143
해안펀치볼점,강원도 양구군 해안면 펀치볼로 1352-1,128.139996,38.28858301
삼척장호해변점,강원도 삼척시 근덕면 장호길 47,129.3145921,37.28574875
태백산점,강원도 태백시 천제단길 154,128.9521523,37.12074962
낙산향기점,강원도 양양군 강현면 해맞이길 46,128.6324689,38.11752589
횡성둔내IC점,강원도 횡성군 둔내면 경강로 4551,128.2072634,37.50387874
춘천후평중앙점,강원도 춘천시 보안길 70-2,127.7503913,37.88055586
원주학성영진점,강원도 원주시 학성길 90,127.9422252,37.3533285
원주부론점,강원도 원주시 부론면 법천시장길 53,127.7499305,37.2081151
영월주천점,강원도 영월군 주천면 주천시장길 22,128.2672523,37.27095817
한화리조트점,강원도 평창군 봉평면 태기로 228-33,128.3317396,37.57877176
